t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,4160,0.0,0.0,0.0,0,0
1,8320,0.0,0.0,0.0,0,0
2,12480,0.0,0.0,0.0,0,0
3,16640,0.0,0.0,0.0,0,0
4,20800,0.0,0.0,0.0,0,0
5,24960,0.0,0.0,0.0,0,0
6,29120,0.0,0.0,0.0,0,0
7,33280,0.0,0.0,0.0,0,0
8,37440,0.0,0.0,0.0,0,0
9,41600,0.0,0.0,0.0,0,0
10,45760,0.0,0.0,0.0,0,0
11,49920,0.0,0.0,0.0,0,0
12,54080,0.0,0.0,0.0,0,0
13,58240,0.0,0.0,0.0,0,0
14,62400,0.0,0.0,0.0,0,0
15,66560,0.0,0.0,0.12293697205977909,0,0
16,70720,0.0,0.0,0.17524077989194267,0,0
17,74880,0.0,0.0,0.19975449168619575,0,0
18,79040,0.0,0.0,0.15352765816495528,0,0
19,83200,0.0,0.0,0.16236281471917366,0,0
20,87360,0.0,0.0,0.025838621940163193,0,0
21,91520,0.0,0.0,0.0,0,0
22,95680,0.0,0.0,0.0,0,0
23,99840,0.0,0.0,0.0033238366571699905,0,0
24,104000,0.0,0.0,0.15352765816495528,0,0
25,108160,0.0,0.0,0.19513261439813465,0,0
26,112320,0.0,0.0,0.20936371214226174,0,0
27,116480,0.0,0.0,0.23282247765006386,0,0
28,120640,0.0,0.0,0.2463012369633762,0,0
29,124800,0.0,0.0,0.24952107279693486,0,0
30,128960,0.0,0.0,0.2495810390232224,0,0
31,133120,0.0,0.0,0.24801252710190316,0,0
32,137280,0.0,0.0,0.2495810390232224,0,0
33,141440,0.0,0.0,0.24964097654380085,0,0
34,145600,0.0,0.0,0.24970088537927734,0,0
35,149760,0.0,0.0,0.24970088537927734,0,0
36,153920,0.0,0.0,0.24964114832535886,0,0
37,158080,0.0,0.0,0.3328550932568149,0,0
38,162240,0.0,0.0,0.33277551996175,0,0
39,166400,0.0,0.0,0.24952175992348158,0,0
40,170560,0.0,0.0,0.24958163997131247,0,0
41,174720,0.0,0.0,0.24958163997131247,0,0
42,178880,0.0,0.0,0.24958163997131247,0,0
43,183040,0.0,0.0,0.24958163997131247,0,0
44,187200,0.0,0.0,0.24952198852772467,0,0
45,191360,0.0,0.0,0.24952198852772467,0,0
46,195520,0.0,0.0,0.24952198852772467,0,0
47,199680,0.0,0.0,0.24952198852772467,0,0
48,203840,0.0,0.0,0.24952198852772467,0,0
49,208000,0.0,0.0,0.24952198852772467,0,0
